draw_index,ratio
104,2.2933461807161843
105,2.5600897363307813
106,2.2933461807161843
107,2.386705418999842
108,2.2933461807161843
109,2.2933461807161843
110,2.5600897363307813
111,2.386705418999842
112,2.2933461807161843
113,2.2933461807161843
114,2.5600897363307813
115,2.386705418999842
116,2.386705418999842
117,2.5600897363307813
118,2.2933461807161843
119,2.5600897363307813
120,2.5600897363307813
121,2.145921636068585
122,2.2933461807161843
123,2.145921636068585
124,2.145921636068585
125,2.145921636068585
126,2.2933461807161843
127,2.145921636068585
128,2.145921636068585
129,2.2933461807161843
130,2.2933461807161843
131,1.9566987372189943
132,1.9566987372189943
133,1.9566987372189943
134,2.2933461807161843
135,1.9566987372189943
136,1.9566987372189943
137,2.2933461807161843
138,2.2933461807161843
139,2.2933461807161843
140,2.2933461807161843
141,2.386705418999842
142,2.2933461807161843
143,2.2933461807161843
144,2.4411294876024887
145,1.6711159158588083
146,1.2233359958230854
147,2.2933461807161843
148,1.0568203148873347
149,1.2265350721563697
150,2.2933461807161843
151,1.6711159158588083
152,2.2933461807161843
153,1.6711159158588083
154,1.6711159158588083
155,2.2933461807161843
156,2.2933461807161843
157,1.2233359958230854
158,1.2265350721563697
159,2.2933461807161843
160,2.2933461807161843
161,2.2933461807161843
162,2.386705418999842
163,1.2265350721563697
164,2.2933461807161843
165,2.2933461807161843
166,2.2933461807161843
167,2.145921636068585
168,2.145921636068585
169,2.145921636068585
170,2.2933461807161843
171,2.145921636068585
172,2.145921636068585
173,2.2933461807161843
174,2.2933461807161843
175,2.2933461807161843
176,2.2933461807161843
177,2.386705418999842
178,2.2933461807161843
179,2.2933461807161843
180,2.4411294876024887
181,2.145921636068585
182,2.145921636068585
183,2.2933461807161843
184,2.145921636068585
185,2.145921636068585
186,2.2933461807161843
187,2.145921636068585
188,2.2933461807161843
189,2.145921636068585
190,2.145921636068585
191,2.2933461807161843
192,2.2933461807161843
193,2.145921636068585
194,2.145921636068585
195,2.2933461807161843
196,2.2933461807161843
197,2.2933461807161843
198,2.386705418999842
199,2.145921636068585
200,2.2933461807161843
201,2.2933461807161843
202,2.2933461807161843
203,2.2933461807161843
204,2.2933461807161843
205,2.386705418999842
206,2.2933461807161843
207,2.2933461807161843
208,2.4411294876024887
209,1.9566987372189943
210,1.9566987372189943
211,2.2933461807161843
212,1.9566987372189943
213,1.9566987372189943
214,2.2933461807161843
215,1.9566987372189943
216,2.2933461807161843
217,1.9566987372189943
218,1.9566987372189943
219,2.2933461807161843
220,2.2933461807161843
221,1.9566987372189943
222,1.9566987372189943
223,2.2933461807161843
224,2.2933461807161843
225,2.2933461807161843
226,2.386705418999842
227,1.9566987372189943
228,2.2933461807161843
229,2.2933461807161843
230,2.2933461807161843
231,2.2933461807161843
232,2.386705418999842
233,2.2933461807161843
234,2.2933461807161843
235,2.4411294876024887
236,2.2933461807161843
237,2.386705418999842
238,2.2933461807161843
239,2.2933461807161843
240,2.4411294876024887
241,2.386705418999842
242,2.2933461807161843
243,2.2933461807161843
244,2.4411294876024887
245,2.386705418999842
246,2.386705418999842
247,2.4411294876024887
248,2.2933461807161843
249,2.4411294876024887
250,2.4411294876024887
251,1.6711159158588083
252,2.2933461807161843
253,1.6711159158588083
254,1.6711159158588083
255,2.2933461807161843
256,2.2933461807161843
257,1.2233359958230854
258,1.2265350721563697
259,2.2933461807161843
260,2.2933461807161843
261,2.2933461807161843
262,2.386705418999842
263,1.2265350721563697
264,2.2933461807161843
265,2.2933461807161843
266,2.2933461807161843
267,1.6711159158588083
268,1.6711159158588083
269,2.2933461807161843
270,2.2933461807161843
271,2.2933461807161843
272,2.386705418999842
273,1.6711159158588083
274,2.2933461807161843
275,2.2933461807161843
276,2.2933461807161843
277,2.2933461807161843
278,2.386705418999842
279,1.2265350721563697
280,2.2933461807161843
281,2.2933461807161843
282,2.2933461807161843
283,2.386705418999842
284,2.386705418999842
285,2.2933461807161843
286,2.725781638322589
287,2.725781638322589
288,2.725781638322589
289,2.725781638322589
290,2.725781638322589
291,2.725781638322589
292,2.725781638322589
293,2.725781638322589
294,2.725781638322589
295,2.725781638322589
296,2.725781638322589
297,2.725781638322589
298,2.725781638322589
299,2.725781638322589
300,2.725781638322589
301,2.725781638322589
302,2.725781638322589
303,2.725781638322589
304,2.725781638322589
305,2.725781638322589
306,2.725781638322589
307,2.725781638322589
308,2.725781638322589
309,2.725781638322589
310,2.725781638322589
311,2.725781638322589
312,2.725781638322589
313,2.725781638322589
314,2.725781638322589
315,2.725781638322589
316,2.725781638322589
317,2.725781638322589
318,2.725781638322589
319,2.725781638322589
320,2.725781638322589
321,2.725781638322589
322,2.725781638322589
323,2.725781638322589
324,2.725781638322589
325,2.725781638322589
326,2.725781638322589
327,2.725781638322589
328,2.725781638322589
329,2.725781638322589
330,2.725781638322589
331,2.725781638322589
332,2.725781638322589
333,2.725781638322589
334,2.725781638322589
335,2.725781638322589
336,2.725781638322589
337,2.725781638322589
338,2.725781638322589
339,2.725781638322589
340,2.725781638322589
341,2.145921636068585
342,2.4411294876024887
343,2.145921636068585
344,2.145921636068585
345,2.145921636068585
346,2.386705418999842
347,2.145921636068585
348,2.145921636068585
349,2.5600897363307813
350,2.4411294876024887
351,1.9566987372189943
352,1.9566987372189943
353,1.9566987372189943
354,2.386705418999842
355,1.9566987372189943
356,1.9566987372189943
357,2.5600897363307813
358,2.4411294876024887
359,2.4411294876024887
360,2.4411294876024887
361,2.4411294876024887
362,2.4411294876024887
363,2.4411294876024887
364,2.5600897363307813
365,1.6711159158588083
366,1.2233359958230854
367,2.386705418999842
368,1.0568203148873347
369,1.2265350721563697
370,2.5600897363307813
371,1.6711159158588083
372,2.386705418999842
373,1.6711159158588083
374,1.6711159158588083
375,2.5600897363307813
376,2.386705418999842
377,1.2233359958230854
378,1.2265350721563697
379,2.5600897363307813
380,2.386705418999842
381,2.386705418999842
382,2.5600897363307813
383,1.2265350721563697
384,2.5600897363307813
385,2.5600897363307813
386,2.4411294876024887
387,2.145921636068585
388,2.145921636068585
389,2.145921636068585
390,2.386705418999842
391,2.145921636068585
392,2.145921636068585
393,2.5600897363307813
394,2.4411294876024887
